nivel_registro,bloco_analisado,id_nota,num_nota,data_nota,titulo_nota,topico_tematica,porcentagem_presenca,vocabularios_chave_identificados,justificativa_metodologica,revisao_necessaria
Nota,"Declarações Políticas, Visitas de Estado e Diplomacia Institucional",881,563,20/11/2024,"Atos adotados por ocasião da visita de estado ao Brasil do Presidente da China, Xi Jinping – 20 de novembro de 2024","Tecnologia, Inovacao e Espaco",18.7%,tecnolog (12x); inovac (5x); inteligencia artificial (2x); satelit (1x); dados (1x); sincrotron (1x),"Peso semantico do topico 'Tecnologia, Inovacao e Espaco' na nota = 23 (soma ponderada de ocorrencias lexicais: titulo x3 + 1o paragrafo substantivo x2 + demais paragrafos x1). Peso total da nota, somando todos os topicos identificados, = 123. Percentual = (23 / 123) x 100 = 18.7%. Termos computados (radical, casamento por fronteira de palavra): tecnolog (12x); inovac (5x); inteligencia artificial (2x); satelit (1x); dados (1x); sincrotron (1x).",Sim
Nota,"Declarações Políticas, Visitas de Estado e Diplomacia Institucional",881,563,20/11/2024,"Atos adotados por ocasião da visita de estado ao Brasil do Presidente da China, Xi Jinping – 20 de novembro de 2024","Educacao, Cultura e Intercambio Humano",16.3%,cultura (5x); turismo (4x); esporte (3x); universidade (3x); educacao (1x),"Peso semantico do topico 'Educacao, Cultura e Intercambio Humano' na nota = 20 (soma ponderada de ocorrencias lexicais: titulo x3 + 1o paragrafo substantivo x2 + demais paragrafos x1). Peso total da nota, somando todos os topicos identificados, = 123. Percentual = (20 / 123) x 100 = 16.3%. Termos computados (radical, casamento por fronteira de palavra): cultura (5x); turismo (4x); esporte (3x); universidade (3x); educacao (1x).",Sim
Nota,"Declarações Políticas, Visitas de Estado e Diplomacia Institucional",881,563,20/11/2024,"Atos adotados por ocasião da visita de estado ao Brasil do Presidente da China, Xi Jinping – 20 de novembro de 2024",Saude Publica e Cooperacao Sanitaria,4.1%,saude (4x),"Peso semantico do topico 'Saude Publica e Cooperacao Sanitaria' na nota = 5 (soma ponderada de ocorrencias lexicais: titulo x3 + 1o paragrafo substantivo x2 + demais paragrafos x1). Peso total da nota, somando todos os topicos identificados, = 123. Percentual = (5 / 123) x 100 = 4.1%. Termos computados (radical, casamento por fronteira de palavra): saude (4x).",Sim
Nota,"Declarações Políticas, Visitas de Estado e Diplomacia Institucional",881,563,20/11/2024,"Atos adotados por ocasião da visita de estado ao Brasil do Presidente da China, Xi Jinping – 20 de novembro de 2024","Infraestrutura, Investimentos e Financas",3.3%,infraestrutura (1x); cinturao e rota (1x); bndes (1x),"Peso semantico do topico 'Infraestrutura, Investimentos e Financas' na nota = 4 (soma ponderada de ocorrencias lexicais: titulo x3 + 1o paragrafo substantivo x2 + demais paragrafos x1). Peso total da nota, somando todos os topicos identificados, = 123. Percentual = (4 / 123) x 100 = 3.3%. Termos computados (radical, casamento por fronteira de palavra): infraestrutura (1x); cinturao e rota (1x); bndes (1x).",Sim
Nota,"Declarações Políticas, Visitas de Estado e Diplomacia Institucional",881,563,20/11/2024,"Atos adotados por ocasião da visita de estado ao Brasil do Presidente da China, Xi Jinping – 20 de novembro de 2024",Outros / Temas Residuais (abaixo do limiar de 3%),1.5%,"Multilateralismo e Foruns Plurilaterais; Transicao Energetica, Meio Ambiente e Mudanca do Clima",Soma dos topicos com peso semantico individual abaixo do limiar de materialidade de 3.0% adotado neste relatorio para evitar fragmentacao excessiva de temas acessorios.,Não
Nota,"Declarações Políticas, Visitas de Estado e Diplomacia Institucional",888,556,19/11/2024,"Visita de Estado do Presidente da China – Brasília, 20 de novembro de 2024",Multilateralismo e Foruns Plurilaterais,38.1%,g20 (2x); cosban (2x); cupula (1x); brics (1x),"Peso semantico do topico 'Multilateralismo e Foruns Plurilaterais' na nota = 8 (soma ponderada de ocorrencias lexicais: titulo x3 + 1o paragrafo substantivo x2 + demais paragrafos x1). Peso total da nota, somando todos os topicos identificados, = 21. Percentual = (8 / 21) x 100 = 38.1%. Termos computados (radical, casamento por fronteira de palavra): g20 (2x); cosban (2x); cupula (1x); brics (1x).",Não
Nota,"Declarações Políticas, Visitas de Estado e Diplomacia Institucional",888,556,19/11/2024,"Visita de Estado do Presidente da China – Brasília, 20 de novembro de 2024",Diplomacia Institucional e Atos Bilaterais,28.6%,visita de estado (3x),"Peso semantico do topico 'Diplomacia Institucional e Atos Bilaterais' na nota = 6 (soma ponderada de ocorrencias lexicais: titulo x3 + 1o paragrafo substantivo x2 + demais paragrafos x1). Peso total da nota, somando todos os topicos identificados, = 21. Percentual = (6 / 21) x 100 = 28.6%. Termos computados (radical, casamento por fronteira de palavra): visita de estado (3x).",Não
Nota,"Declarações Políticas, Visitas de Estado e Diplomacia Institucional",888,556,19/11/2024,"Visita de Estado do Presidente da China – Brasília, 20 de novembro de 2024","Economia, Comercio Exterior e Agronegocio",23.8%,exportac (1x); importac (1x); comercio (1x); export (1x); import (1x),"Peso semantico do topico 'Economia, Comercio Exterior e Agronegocio' na nota = 5 (soma ponderada de ocorrencias lexicais: titulo x3 + 1o paragrafo substantivo x2 + demais paragrafos x1). Peso total da nota, somando todos os topicos identificados, = 21. Percentual = (5 / 21) x 100 = 23.8%. Termos computados (radical, casamento por fronteira de palavra): exportac (1x); importac (1x); comercio (1x); export (1x); import (1x).",Não
Nota,"Declarações Políticas, Visitas de Estado e Diplomacia Institucional",888,556,19/11/2024,"Visita de Estado do Presidente da China – Brasília, 20 de novembro de 2024",Cooperacao Bilateral e Sul-Sul,9.5%,parceria estrategica (2x),"Peso semantico do topico 'Cooperacao Bilateral e Sul-Sul' na nota = 2 (soma ponderada de ocorrencias lexicais: titulo x3 + 1o paragrafo substantivo x2 + demais paragrafos x1). Peso total da nota, somando todos os topicos identificados, = 21. Percentual = (2 / 21) x 100 = 9.5%. Termos computados (radical, casamento por fronteira de palavra): parceria estrategica (2x).",Não
Nota,"Declarações Políticas, Visitas de Estado e Diplomacia Institucional",1080,367,14/08/2024,50 anos de relações Brasil-China,Diplomacia Institucional e Atos Bilaterais,42.9%,relacoes diplomaticas (1x); visita de estado (1x),"Peso semantico do topico 'Diplomacia Institucional e Atos Bilaterais' na nota = 3 (soma ponderada de ocorrencias lexicais: titulo x3 + 1o paragrafo substantivo x2 + demais paragrafos x1). Peso total da nota, somando todos os topicos identificados, = 7. Percentual = (3 / 7) x 100 = 42.9%. Termos computados (radical, casamento por fronteira de palavra): relacoes diplomaticas (1x); visita de estado (1x).",Não
Nota,"Declarações Políticas, Visitas de Estado e Diplomacia Institucional",1080,367,14/08/2024,50 anos de relações Brasil-China,"Economia, Comercio Exterior e Agronegocio",28.6%,import (1x),"Peso semantico do topico 'Economia, Comercio Exterior e Agronegocio' na nota = 2 (soma ponderada de ocorrencias lexicais: titulo x3 + 1o paragrafo substantivo x2 + demais paragrafos x1). Peso total da nota, somando todos os topicos identificados, = 7. Percentual = (2 / 7) x 100 = 28.6%. Termos computados (radical, casamento por fronteira de palavra): import (1x).",Não
Nota,"Declarações Políticas, Visitas de Estado e Diplomacia Institucional",1080,367,14/08/2024,50 anos de relações Brasil-China,Cooperacao Bilateral e Sul-Sul,14.3%,parceria estrategica (1x),"Peso semantico do topico 'Cooperacao Bilateral e Sul-Sul' na nota = 1 (soma ponderada de ocorrencias lexicais: titulo x3 + 1o paragrafo substantivo x2 + demais paragrafos x1). Peso total da nota, somando todos os topicos identificados, = 7. Percentual = (1 / 7) x 100 = 14.3%. Termos computados (radical, casamento por fronteira de palavra): parceria estrategica (1x).",Não
Nota,"Declarações Políticas, Visitas de Estado e Diplomacia Institucional",1080,367,14/08/2024,50 anos de relações Brasil-China,Multilateralismo e Foruns Plurilaterais,14.3%,cosban (1x),"Peso semantico do topico 'Multilateralismo e Foruns Plurilaterais' na nota = 1 (soma ponderada de ocorrencias lexicais: titulo x3 + 1o paragrafo substantivo x2 + demais paragrafos x1). Peso total da nota, somando todos os topicos identificados, = 7. Percentual = (1 / 7) x 100 = 14.3%. Termos computados (radical, casamento por fronteira de palavra): cosban (1x).",Não
Nota,"Declarações Políticas, Visitas de Estado e Diplomacia Institucional",1210,237,06/06/2024,VII Sessão Plenária da Comissão Sino-Brasileira de Alto Nível de Concertação e Cooperação (COSBAN),Multilateralismo e Foruns Plurilaterais,26.5%,cosban (6x),"Peso semantico do topico 'Multilateralismo e Foruns Plurilaterais' na nota = 9 (soma ponderada de ocorrencias lexicais: titulo x3 + 1o paragrafo substantivo x2 + demais paragrafos x1). Peso total da nota, somando todos os topicos identificados, = 34. Percentual = (9 / 34) x 100 = 26.5%. Termos computados (radical, casamento por fronteira de palavra): cosban (6x).",Não
Nota,"Declarações Políticas, Visitas de Estado e Diplomacia Institucional",1210,237,06/06/2024,VII Sessão Plenária da Comissão Sino-Brasileira de Alto Nível de Concertação e Cooperação (COSBAN),Diplomacia Institucional e Atos Bilaterais,20.6%,visita oficial (2x); relacoes diplomaticas (1x); visita de estado (1x),"Peso semantico do topico 'Diplomacia Institucional e Atos Bilaterais' na nota = 7 (soma ponderada de ocorrencias lexicais: titulo x3 + 1o paragrafo substantivo x2 + demais paragrafos x1). Peso total da nota, somando todos os topicos identificados, = 34. Percentual = (7 / 34) x 100 = 20.6%. Termos computados (radical, casamento por fronteira de palavra): visita oficial (2x); relacoes diplomaticas (1x); visita de estado (1x).",Não
Nota,"Declarações Políticas, Visitas de Estado e Diplomacia Institucional",1210,237,06/06/2024,VII Sessão Plenária da Comissão Sino-Brasileira de Alto Nível de Concertação e Cooperação (COSBAN),"Tecnologia, Inovacao e Espaco",14.7%,tecnolog (3x); inovac (2x),"Peso semantico do topico 'Tecnologia, Inovacao e Espaco' na nota = 5 (soma ponderada de ocorrencias lexicais: titulo x3 + 1o paragrafo substantivo x2 + demais paragrafos x1). Peso total da nota, somando todos os topicos identificados, = 34. Percentual = (5 / 34) x 100 = 14.7%. Termos computados (radical, casamento por fronteira de palavra): tecnolog (3x); inovac (2x).",Não
Nota,"Declarações Políticas, Visitas de Estado e Diplomacia Institucional",1210,237,06/06/2024,VII Sessão Plenária da Comissão Sino-Brasileira de Alto Nível de Concertação e Cooperação (COSBAN),"Economia, Comercio Exterior e Agronegocio",14.7%,comercio (2x); agricultur (2x); fitossanitari (1x),"Peso semantico do topico 'Economia, Comercio Exterior e Agronegocio' na nota = 5 (soma ponderada de ocorrencias lexicais: titulo x3 + 1o paragrafo substantivo x2 + demais paragrafos x1). Peso total da nota, somando todos os topicos identificados, = 34. Percentual = (5 / 34) x 100 = 14.7%. Termos computados (radical, casamento por fronteira de palavra): comercio (2x); agricultur (2x); fitossanitari (1x).",Não
Nota,"Declarações Políticas, Visitas de Estado e Diplomacia Institucional",1210,237,06/06/2024,VII Sessão Plenária da Comissão Sino-Brasileira de Alto Nível de Concertação e Cooperação (COSBAN),"Educacao, Cultura e Intercambio Humano",11.8%,cultura (2x); turismo (1x); educacao (1x),"Peso semantico do topico 'Educacao, Cultura e Intercambio Humano' na nota = 4 (soma ponderada de ocorrencias lexicais: titulo x3 + 1o paragrafo substantivo x2 + demais paragrafos x1). Peso total da nota, somando todos os topicos identificados, = 34. Percentual = (4 / 34) x 100 = 11.8%. Termos computados (radical, casamento por fronteira de palavra): cultura (2x); turismo (1x); educacao (1x).",Não
Nota,"Declarações Políticas, Visitas de Estado e Diplomacia Institucional",1210,237,06/06/2024,VII Sessão Plenária da Comissão Sino-Brasileira de Alto Nível de Concertação e Cooperação (COSBAN),"Transicao Energetica, Meio Ambiente e Mudanca do Clima",5.9%,mudanca do clima (2x),"Peso semantico do topico 'Transicao Energetica, Meio Ambiente e Mudanca do Clima' na nota = 2 (soma ponderada de ocorrencias lexicais: titulo x3 + 1o paragrafo substantivo x2 + demais paragrafos x1). Peso total da nota, somando todos os topicos identificados, = 34. Percentual = (2 / 34) x 100 = 5.9%. Termos computados (radical, casamento por fronteira de palavra): mudanca do clima (2x).",Não
Nota,"Declarações Políticas, Visitas de Estado e Diplomacia Institucional",1210,237,06/06/2024,VII Sessão Plenária da Comissão Sino-Brasileira de Alto Nível de Concertação e Cooperação (COSBAN),Outros / Temas Residuais (abaixo do limiar de 3%),5.8%,"Infraestrutura, Investimentos e Financas; Saude Publica e Cooperacao Sanitaria",Soma dos topicos com peso semantico individual abaixo do limiar de materialidade de 3.0% adotado neste relatorio para evitar fragmentacao excessiva de temas acessorios.,Não
Nota,"Declarações Políticas, Visitas de Estado e Diplomacia Institucional",1426,Nota à Imprensa nº 21,17/01/2024,"Visita do Ministro dos Negócios Estrangeiros da China, Wang Yi","Economia, Comercio Exterior e Agronegocio",33.3%,comercio (2x); exportac (1x); importac (1x); export (1x); import (1x),"Peso semantico do topico 'Economia, Comercio Exterior e Agronegocio' na nota = 6 (soma ponderada de ocorrencias lexicais: titulo x3 + 1o paragrafo substantivo x2 + demais paragrafos x1). Peso total da nota, somando todos os topicos identificados, = 18. Percentual = (6 / 18) x 100 = 33.3%. Termos computados (radical, casamento por fronteira de palavra): comercio (2x); exportac (1x); importac (1x); export (1x); import (1x).",Não
Nota,"Declarações Políticas, Visitas de Estado e Diplomacia Institucional",1426,Nota à Imprensa nº 21,17/01/2024,"Visita do Ministro dos Negócios Estrangeiros da China, Wang Yi",Diplomacia Institucional e Atos Bilaterais,22.2%,visita oficial (1x); chanceler (1x); relacoes diplomaticas (1x),"Peso semantico do topico 'Diplomacia Institucional e Atos Bilaterais' na nota = 4 (soma ponderada de ocorrencias lexicais: titulo x3 + 1o paragrafo substantivo x2 + demais paragrafos x1). Peso total da nota, somando todos os topicos identificados, = 18. Percentual = (4 / 18) x 100 = 22.2%. Termos computados (radical, casamento por fronteira de palavra): visita oficial (1x); chanceler (1x); relacoes diplomaticas (1x).",Não
Nota,"Declarações Políticas, Visitas de Estado e Diplomacia Institucional",1426,Nota à Imprensa nº 21,17/01/2024,"Visita do Ministro dos Negócios Estrangeiros da China, Wang Yi",Cooperacao Bilateral e Sul-Sul,16.7%,parceria estrategica (2x); cooperacao bilateral (1x),"Peso semantico do topico 'Cooperacao Bilateral e Sul-Sul' na nota = 3 (soma ponderada de ocorrencias lexicais: titulo x3 + 1o paragrafo substantivo x2 + demais paragrafos x1). Peso total da nota, somando todos os topicos identificados, = 18. Percentual = (3 / 18) x 100 = 16.7%. Termos computados (radical, casamento por fronteira de palavra): parceria estrategica (2x); cooperacao bilateral (1x).",Não
Nota,"Declarações Políticas, Visitas de Estado e Diplomacia Institucional",1426,Nota à Imprensa nº 21,17/01/2024,"Visita do Ministro dos Negócios Estrangeiros da China, Wang Yi","Tecnologia, Inovacao e Espaco",11.1%,tecnolog (1x); inovac (1x),"Peso semantico do topico 'Tecnologia, Inovacao e Espaco' na nota = 2 (soma ponderada de ocorrencias lexicais: titulo x3 + 1o paragrafo substantivo x2 + demais paragrafos x1). Peso total da nota, somando todos os topicos identificados, = 18. Percentual = (2 / 18) x 100 = 11.1%. Termos computados (radical, casamento por fronteira de palavra): tecnolog (1x); inovac (1x).",Não
Nota,"Declarações Políticas, Visitas de Estado e Diplomacia Institucional",1426,Nota à Imprensa nº 21,17/01/2024,"Visita do Ministro dos Negócios Estrangeiros da China, Wang Yi",Multilateralismo e Foruns Plurilaterais,11.1%,g20 (1x); dialogo estrategico global (1x),"Peso semantico do topico 'Multilateralismo e Foruns Plurilaterais' na nota = 2 (soma ponderada de ocorrencias lexicais: titulo x3 + 1o paragrafo substantivo x2 + demais paragrafos x1). Peso total da nota, somando todos os topicos identificados, = 18. Percentual = (2 / 18) x 100 = 11.1%. Termos computados (radical, casamento por fronteira de palavra): g20 (1x); dialogo estrategico global (1x).",Não
Nota,"Declarações Políticas, Visitas de Estado e Diplomacia Institucional",1426,Nota à Imprensa nº 21,17/01/2024,"Visita do Ministro dos Negócios Estrangeiros da China, Wang Yi",Governanca Global e Reforma Institucional,5.6%,governanca global (1x),"Peso semantico do topico 'Governanca Global e Reforma Institucional' na nota = 1 (soma ponderada de ocorrencias lexicais: titulo x3 + 1o paragrafo substantivo x2 + demais paragrafos x1). Peso total da nota, somando todos os topicos identificados, = 18. Percentual = (1 / 18) x 100 = 5.6%. Termos computados (radical, casamento por fronteira de palavra): governanca global (1x).",Não
Nota,"Declarações Políticas, Visitas de Estado e Diplomacia Institucional",1911,133,14/04/2023,"Declaração Conjunta entre a República Federativa do Brasil e a República Popular da China sobre o Aprofundamento da Parceria Estratégica Global - Pequim, 14 de abril de 2023","Economia, Comercio Exterior e Agronegocio",20.2%,agricultur (21x); import (19x); trade (17x); comercio (16x); agricola (5x); export (4x); quarentena (3x); quarantine (3x),"Peso semantico do topico 'Economia, Comercio Exterior e Agronegocio' na nota = 100 (soma ponderada de ocorrencias lexicais: titulo x3 + 1o paragrafo substantivo x2 + demais paragrafos x1). Peso total da nota, somando todos os topicos identificados, = 495. Percentual = (100 / 495) x 100 = 20.2%. Termos computados (radical, casamento por fronteira de palavra): agricultur (21x); import (19x); trade (17x); comercio (16x); agricola (5x); export (4x); quarentena (3x); quarantine (3x).",Sim
Nota,"Declarações Políticas, Visitas de Estado e Diplomacia Institucional",1911,133,14/04/2023,"Declaração Conjunta entre a República Federativa do Brasil e a República Popular da China sobre o Aprofundamento da Parceria Estratégica Global - Pequim, 14 de abril de 2023","Tecnologia, Inovacao e Espaco",15.4%,tecnolog (20x); technology (10x); inovac (9x); innovation (9x); cbers (8x); research and development (4x); pesquisa e desenvolvimento (3x); sincrotron (3x),"Peso semantico do topico 'Tecnologia, Inovacao e Espaco' na nota = 76 (soma ponderada de ocorrencias lexicais: titulo x3 + 1o paragrafo substantivo x2 + demais paragrafos x1). Peso total da nota, somando todos os topicos identificados, = 495. Percentual = (76 / 495) x 100 = 15.4%. Termos computados (radical, casamento por fronteira de palavra): tecnolog (20x); technology (10x); inovac (9x); innovation (9x); cbers (8x); research and development (4x); pesquisa e desenvolvimento (3x); sincrotron (3x).",Sim
Nota,"Declarações Políticas, Visitas de Estado e Diplomacia Institucional",1911,133,14/04/2023,"Declaração Conjunta entre a República Federativa do Brasil e a República Popular da China sobre o Aprofundamento da Parceria Estratégica Global - Pequim, 14 de abril de 2023","Infraestrutura, Investimentos e Financas",12.3%,investment (19x); infraestrutura (7x); infrastructure (7x); finance (7x); ndb (6x); financial (3x); financiamento (2x); aiib (2x),"Peso semantico do topico 'Infraestrutura, Investimentos e Financas' na nota = 61 (soma ponderada de ocorrencias lexicais: titulo x3 + 1o paragrafo substantivo x2 + demais paragrafos x1). Peso total da nota, somando todos os topicos identificados, = 495. Percentual = (61 / 495) x 100 = 12.3%. Termos computados (radical, casamento por fronteira de palavra): investment (19x); infraestrutura (7x); infrastructure (7x); finance (7x); ndb (6x); financial (3x); financiamento (2x); aiib (2x).",Sim
Nota,"Declarações Políticas, Visitas de Estado e Diplomacia Institucional",1911,133,14/04/2023,"Declaração Conjunta entre a República Federativa do Brasil e a República Popular da China sobre o Aprofundamento da Parceria Estratégica Global - Pequim, 14 de abril de 2023",Multilateralismo e Foruns Plurilaterais,11.3%,brics (20x); cosban (10x); g20 (8x); deg (5x); celac (4x); consenso (3x); declaracao conjunta (1x); cupula (1x),"Peso semantico do topico 'Multilateralismo e Foruns Plurilaterais' na nota = 56 (soma ponderada de ocorrencias lexicais: titulo x3 + 1o paragrafo substantivo x2 + demais paragrafos x1). Peso total da nota, somando todos os topicos identificados, = 495. Percentual = (56 / 495) x 100 = 11.3%. Termos computados (radical, casamento por fronteira de palavra): brics (20x); cosban (10x); g20 (8x); deg (5x); celac (4x); consenso (3x); declaracao conjunta (1x); cupula (1x).",Sim
Nota,"Declarações Políticas, Visitas de Estado e Diplomacia Institucional",1911,133,14/04/2023,"Declaração Conjunta entre a República Federativa do Brasil e a República Popular da China sobre o Aprofundamento da Parceria Estratégica Global - Pequim, 14 de abril de 2023","Transicao Energetica, Meio Ambiente e Mudanca do Clima",8.3%,environment (7x); biodiversidade (5x); mudanca do clima (4x); climate change (4x); biodiversity (4x); transicao energetica (3x); cop (3x); energy transition (3x),"Peso semantico do topico 'Transicao Energetica, Meio Ambiente e Mudanca do Clima' na nota = 41 (soma ponderada de ocorrencias lexicais: titulo x3 + 1o paragrafo substantivo x2 + demais paragrafos x1). Peso total da nota, somando todos os topicos identificados, = 495. Percentual = (41 / 495) x 100 = 8.3%. Termos computados (radical, casamento por fronteira de palavra): environment (7x); biodiversidade (5x); mudanca do clima (4x); climate change (4x); biodiversity (4x); transicao energetica (3x); cop (3x); energy transition (3x).",Sim
Nota,"Declarações Políticas, Visitas de Estado e Diplomacia Institucional",1911,133,14/04/2023,"Declaração Conjunta entre a República Federativa do Brasil e a República Popular da China sobre o Aprofundamento da Parceria Estratégica Global - Pequim, 14 de abril de 2023",Cooperacao Bilateral e Sul-Sul,6.5%,cooperacao bilateral (9x); bilateral cooperation (8x); parceria estrategica (3x); strategic partnership (3x); complementaridade (2x); transferencia de tecnologia (2x); sul-sul (1x); south-south (1x),"Peso semantico do topico 'Cooperacao Bilateral e Sul-Sul' na nota = 32 (soma ponderada de ocorrencias lexicais: titulo x3 + 1o paragrafo substantivo x2 + demais paragrafos x1). Peso total da nota, somando todos os topicos identificados, = 495. Percentual = (32 / 495) x 100 = 6.5%. Termos computados (radical, casamento por fronteira de palavra): cooperacao bilateral (9x); bilateral cooperation (8x); parceria estrategica (3x); strategic partnership (3x); complementaridade (2x); transferencia de tecnologia (2x); sul-sul (1x); south-south (1x).",Sim
Nota,"Declarações Políticas, Visitas de Estado e Diplomacia Institucional",1911,133,14/04/2023,"Declaração Conjunta entre a República Federativa do Brasil e a República Popular da China sobre o Aprofundamento da Parceria Estratégica Global - Pequim, 14 de abril de 2023",Diplomacia Institucional e Atos Bilaterais,6.3%,memorando de entendimento (9x); memorandum of understanding (9x); relacoes diplomaticas (3x); aniversario (3x); visita de estado (2x); state visit (2x); chanceler (1x); joint communique (1x),"Peso semantico do topico 'Diplomacia Institucional e Atos Bilaterais' na nota = 31 (soma ponderada de ocorrencias lexicais: titulo x3 + 1o paragrafo substantivo x2 + demais paragrafos x1). Peso total da nota, somando todos os topicos identificados, = 495. Percentual = (31 / 495) x 100 = 6.3%. Termos computados (radical, casamento por fronteira de palavra): memorando de entendimento (9x); memorandum of understanding (9x); relacoes diplomaticas (3x); aniversario (3x); visita de estado (2x); state visit (2x); chanceler (1x); joint communique (1x).",Sim
Nota,"Declarações Políticas, Visitas de Estado e Diplomacia Institucional",1911,133,14/04/2023,"Declaração Conjunta entre a República Federativa do Brasil e a República Popular da China sobre o Aprofundamento da Parceria Estratégica Global - Pequim, 14 de abril de 2023","Educacao, Cultura e Intercambio Humano",5.3%,sport (5x); cultura (4x); turismo (3x); tourism (3x); esporte (2x); estudante (2x); education (2x); student (2x),"Peso semantico do topico 'Educacao, Cultura e Intercambio Humano' na nota = 26 (soma ponderada de ocorrencias lexicais: titulo x3 + 1o paragrafo substantivo x2 + demais paragrafos x1). Peso total da nota, somando todos os topicos identificados, = 495. Percentual = (26 / 495) x 100 = 5.3%. Termos computados (radical, casamento por fronteira de palavra): sport (5x); cultura (4x); turismo (3x); tourism (3x); esporte (2x); estudante (2x); education (2x); student (2x).",Sim
Nota,"Declarações Políticas, Visitas de Estado e Diplomacia Institucional",1911,133,14/04/2023,"Declaração Conjunta entre a República Federativa do Brasil e a República Popular da China sobre o Aprofundamento da Parceria Estratégica Global - Pequim, 14 de abril de 2023","Defesa, Seguranca Internacional e Geopolitica",4.4%,peace (8x); security (5x); paz (3x); ucrania (2x); ukraine (2x); solucao pacifica (1x); defesa (1x),"Peso semantico do topico 'Defesa, Seguranca Internacional e Geopolitica' na nota = 22 (soma ponderada de ocorrencias lexicais: titulo x3 + 1o paragrafo substantivo x2 + demais paragrafos x1). Peso total da nota, somando todos os topicos identificados, = 495. Percentual = (22 / 495) x 100 = 4.4%. Termos computados (radical, casamento por fronteira de palavra): peace (8x); security (5x); paz (3x); ucrania (2x); ukraine (2x); solucao pacifica (1x); defesa (1x).",Sim
Nota,"Declarações Políticas, Visitas de Estado e Diplomacia Institucional",1911,133,14/04/2023,"Declaração Conjunta entre a República Federativa do Brasil e a República Popular da China sobre o Aprofundamento da Parceria Estratégica Global - Pequim, 14 de abril de 2023",Saude Publica e Cooperacao Sanitaria,4.2%,epidemic (5x); vacina (4x); vaccine (4x); pandemia (2x); covid-19 (2x); pandemic (2x); saude (1x); epidemia (1x),"Peso semantico do topico 'Saude Publica e Cooperacao Sanitaria' na nota = 21 (soma ponderada de ocorrencias lexicais: titulo x3 + 1o paragrafo substantivo x2 + demais paragrafos x1). Peso total da nota, somando todos os topicos identificados, = 495. Percentual = (21 / 495) x 100 = 4.2%. Termos computados (radical, casamento por fronteira de palavra): epidemic (5x); vacina (4x); vaccine (4x); pandemia (2x); covid-19 (2x); pandemic (2x); saude (1x); epidemia (1x).",Sim
Nota,"Declarações Políticas, Visitas de Estado e Diplomacia Institucional",1911,133,14/04/2023,"Declaração Conjunta entre a República Federativa do Brasil e a República Popular da China sobre o Aprofundamento da Parceria Estratégica Global - Pequim, 14 de abril de 2023",Governanca Global e Reforma Institucional,3.2%,nacoes unidas (5x); united nations (4x); conselho de seguranca (2x); security council (2x); multilateralism (2x); multilateralismo (1x),"Peso semantico do topico 'Governanca Global e Reforma Institucional' na nota = 16 (soma ponderada de ocorrencias lexicais: titulo x3 + 1o paragrafo substantivo x2 + demais paragrafos x1). Peso total da nota, somando todos os topicos identificados, = 495. Percentual = (16 / 495) x 100 = 3.2%. Termos computados (radical, casamento por fronteira de palavra): nacoes unidas (5x); united nations (4x); conselho de seguranca (2x); security council (2x); multilateralism (2x); multilateralismo (1x).",Sim
Nota,"Declarações Políticas, Visitas de Estado e Diplomacia Institucional",1911,133,14/04/2023,"Declaração Conjunta entre a República Federativa do Brasil e a República Popular da China sobre o Aprofundamento da Parceria Estratégica Global - Pequim, 14 de abril de 2023",Outros / Temas Residuais (abaixo do limiar de 3%),2.6%,Direitos Humanos e Direito Internacional Humanitario,Soma dos topicos com peso semantico individual abaixo do limiar de materialidade de 3.0% adotado neste relatorio para evitar fragmentacao excessiva de temas acessorios.,Não
Nota,"Declarações Políticas, Visitas de Estado e Diplomacia Institucional",1942,Nota à Imprensa nº 102,17/03/2023,Visita de Estado do Senhor Presidente da República à República Popular da China,Diplomacia Institucional e Atos Bilaterais,53.3%,visita de estado (3x); relacoes diplomaticas (1x),"Peso semantico do topico 'Diplomacia Institucional e Atos Bilaterais' na nota = 8 (soma ponderada de ocorrencias lexicais: titulo x3 + 1o paragrafo substantivo x2 + demais paragrafos x1). Peso total da nota, somando todos os topicos identificados, = 15. Percentual = (8 / 15) x 100 = 53.3%. Termos computados (radical, casamento por fronteira de palavra): visita de estado (3x); relacoes diplomaticas (1x).",Não
Nota,"Declarações Políticas, Visitas de Estado e Diplomacia Institucional",1942,Nota à Imprensa nº 102,17/03/2023,Visita de Estado do Senhor Presidente da República à República Popular da China,Cooperacao Bilateral e Sul-Sul,13.3%,parceria estrategica (2x),"Peso semantico do topico 'Cooperacao Bilateral e Sul-Sul' na nota = 2 (soma ponderada de ocorrencias lexicais: titulo x3 + 1o paragrafo substantivo x2 + demais paragrafos x1). Peso total da nota, somando todos os topicos identificados, = 15. Percentual = (2 / 15) x 100 = 13.3%. Termos computados (radical, casamento por fronteira de palavra): parceria estrategica (2x).",Não
